name,amount
2012-08-11T00:00:00Z,1
2012-07-08T00:00:00Z,1
2012-05-10T00:00:00Z,3
2011-07-12T00:00:00Z,1
2012-09-24T00:00:00Z,1
2012-07-31T00:00:00Z,2
2012-04-13T00:00:00Z,2
2011-05-07T00:00:00Z,1
2012-08-14T00:00:00Z,2
2011-07-04T00:00:00Z,1
2012-05-08T00:00:00Z,1
2012-03-10T00:00:00Z,6
2012-06-07T00:00:00Z,1
2011-04-07T00:00:00Z,1
2012-02-22T00:00:00Z,2
2011-08-27T00:00:00Z,2
2011-10-12T00:00:00Z,1
2011-03-07T00:00:00Z,1
2011-07-06T00:00:00Z,1
2011-01-10T00:00:00Z,6
2011-02-11T00:00:00Z,1
2012-05-15T00:00:00Z,3
2011-09-17T00:00:00Z,1
2011-02-23T00:00:00Z,1
2012-04-28T00:00:00Z,1
2011-06-29T00:00:00Z,2
2012-07-15T00:00:00Z,2
2011-06-02T00:00:00Z,1
2012-07-02T00:00:00Z,1
2011-03-25T00:00:00Z,1
2012-06-01T00:00:00Z,1
2012-07-17T00:00:00Z,1
2012-04-21T00:00:00Z,43
2011-04-01T00:00:00Z,1
2011-05-27T00:00:00Z,1
2012-08-26T00:00:00Z,6
2012-03-18T00:00:00Z,1
2012-09-23T00:00:00Z,1
2012-08-15T00:00:00Z,1
2011-01-21T00:00:00Z,1
2012-07-05T00:00:00Z,1
2012-05-31T00:00:00Z,1
2011-04-19T00:00:00Z,13
2011-03-20T00:00:00Z,1
2012-07-28T00:00:00Z,1
2012-06-10T00:00:00Z,22
2012-06-16T00:00:00Z,1
2012-01-27T00:00:00Z,1
2012-01-26T00:00:00Z,1
2011-02-08T00:00:00Z,1
2012-09-13T00:00:00Z,2
2011-11-14T00:00:00Z,1
2011-10-25T00:00:00Z,1
2011-10-28T00:00:00Z,1
2011-12-26T00:00:00Z,1
2011-05-03T00:00:00Z,1
2012-04-26T00:00:00Z,9
2012-03-22T00:00:00Z,3
2011-03-15T00:00:00Z,1
2011-06-24T00:00:00Z,1
2011-12-16T00:00:00Z,4
2011-10-19T00:00:00Z,1
2012-05-07T00:00:00Z,1
2011-05-18T00:00:00Z,1
2011-08-26T00:00:00Z,1
2012-09-21T00:00:00Z,1
2012-08-07T00:00:00Z,1
2011-06-05T00:00:00Z,1
2012-05-16T00:00:00Z,1
2012-05-27T00:00:00Z,1
2012-01-24T00:00:00Z,6
2011-09-20T00:00:00Z,1
2011-01-18T00:00:00Z,2
2012-05-28T00:00:00Z,1
2012-07-19T00:00:00Z,1
2012-04-14T00:00:00Z,1
2012-09-20T00:00:00Z,1
2011-04-21T00:00:00Z,6
2012-08-24T00:00:00Z,1
2012-06-24T00:00:00Z,1
2012-09-04T00:00:00Z,1
2012-08-12T00:00:00Z,3
2011-09-03T00:00:00Z,1
2012-09-12T00:00:00Z,1
2011-09-23T00:00:00Z,1
2012-03-17T00:00:00Z,1
2012-03-30T00:00:00Z,1
2012-06-22T00:00:00Z,1
2012-06-23T00:00:00Z,1
2011-08-10T00:00:00Z,3
2012-09-18T00:00:00Z,1
